"file","leg","behind_end_max","p2p_end_max","src_behind_end","src_p2p_end","src_dec_fps","sources","generated"
"1_4K_ProRes_4444\TheraTears_Vial_VFX_v002.mov","1","7","59","3","23.9","56.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"1_4K_ProRes_4444\TheraTears_Vial_VFX_v002.mov","2","4","56","0","21.1","58.6","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"1_4K_ProRes_4444\TheraTears_Vial_VFX_v002.mov","3","4","69","0","32.6","54.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"1_4K_ProRes_4444\TheraTears_Vial_VFX_v002.mov","4","4","37","0","4.3","63.3","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"10_4x5_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Pool_PLC_PLC_OM_EN_BAU_4x5_15_product-locator_CBCX0000436H.mov","1","4","34","0","3.3","173.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"10_4x5_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Pool_PLC_PLC_OM_EN_BAU_4x5_15_product-locator_CBCX0000436H.mov","2","4","40","0","9.3","205.1","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"10_4x5_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Pool_PLC_PLC_OM_EN_BAU_4x5_15_product-locator_CBCX0000436H.mov","3","4","32","0","1.4","70.9","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"10_4x5_ProRes\FY27_CX_BEER_NA_Summer_Bottomless-Cooler-Pool_PLC_PLC_OM_EN_BAU_4x5_15_product-locator_CBCX0000436H.mov","4","4","36","0","5.1","172","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-2x1-to-239.mp4","1","4","35","0","4.4","93.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-2x1-to-239.mp4","2","4","39","0","8.4","195.7","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-2x1-to-239.mp4","3","4","36","0","0.5","56.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-2x1-to-239.mp4","4","4","31","0","0.9","138.8","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-4x3-to-16x9.mp4","1","4","35","0","4.2","93.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-4x3-to-16x9.mp4","2","4","38","0","7.3","199","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-4x3-to-16x9.mp4","3","4","36","0","0.5","56.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\anamorphic-4x3-to-16x9.mp4","4","4","31","0","0.1","138.6","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\rotated-180.mp4","1","4","34","0","3.8","93.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\rotated-180.mp4","2","4","34","0","3.4","195.4","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\rotated-180.mp4","3","4","36","0","0.3","56.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\rotated-180.mp4","4","4","34","0","3.2","138.2","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\rotated-90.mp4","1","4","31","0","0.3","93.5","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
"11_Shape_Fixtures\rotated-90.mp4","2","4","36","0","5.2","196.6","results-bar-240hz.csv;results-bar-60hz.csv;results-barcheck.csv","2026-08-20"
